Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
0,0,-975,-62.4
23,0,-959.4,-117
46,0,-951.6,-70.2
69,0,-967.2,-78
92,0,-982.8,-85.8
115,0,-998.4,-109.2
139,7.8,-982.8,-78
159,0,-998.4,-62.4
180,0,-959.4,-101.4
200,0,-975,-85.8
220,0,-943.8,-101.4
240,-23.4,-951.6,-101.4
261,0,-967.2,-109.2
282,0,-959.4,-70.2
302,0,-982.8,-124.8
359,0,-982.8,-62.4
396,0,-998.4,-93.6
416,0,-959.4,-124.8
437,0,-951.6,-78
463,-54.6,-975,-109.2
485,0,-982.8,-101.4
504,-54.6,-975,-85.8
526,0,-990.6,-93.6
545,23.4,-943.8,-101.4
567,0,-975,-117
587,0,-975,-117
608,0,-975,-117
627,0,-998.4,-93.6
649,23.4,-982.8,-117
669,0,-936,-109.2
690,0,-975,-85.8
710,0,-982.8,-93.6
731,-39,-975,-93.6
751,0,-990.6,-124.8
772,0,-990.6,-78
792,0,-998.4,-109.2
813,0,-951.6,-124.8
833,0,-998.4,-93.6
854,0,-998.4,-93.6
881,0,-990.6,-148.2
902,0,-936,-70.2
922,0,-959.4,-101.4
943,0,-951.6,-78
964,0,-967.2,-85.8
984,0,-982.8,-78
1005,0,-959.4,-124.8
1025,0,-967.2,-109.2
1046,0,-967.2,-117
1066,0,-959.4,-101.4
1087,-54.6,-943.8,-117
1108,0,-990.6,-117
1128,0,-967.2,-101.4
1149,0,-967.2,-109.2
1170,0,-928.2,-70.2
1190,0,-967.2,-78
1211,0,-982.8,-124.8
1231,0,-998.4,-93.6
1252,7.8,-959.4,-93.6
1279,0,-959.4,-78
1300,0,-990.6,-124.8
1320,0,-990.6,-93.6
1341,0,-982.8,-101.4
1361,0,-951.6,-101.4
1383,-39,-959.4,-101.4
1402,0,-975,-124.8
1424,0,-975,-148.2
1443,0,-990.6,-93.6
1465,0,-912.6,-101.4
1484,0,-967.2,-93.6
1506,0,-967.2,-109.2
1526,0,-975,-117
1547,0,-951.6,-117
1567,0,-998.4,-124.8
1588,0,-959.4,-85.8
1608,0,-975,-101.4
1629,0,-998.4,-124.8
1649,0,-975,-85.8
1676,0,-967.2,-93.6
1697,0,-967.2,-109.2
1718,0,-951.6,-85.8
1738,0,-967.2,-101.4
1759,0,-975,-148.2
1779,0,-967.2,-70.2
1800,0,-1029.6,-109.2
1820,0,-967.2,-70.2
1841,0,-967.2,-109.2
1862,0,-951.6,-85.8
1882,0,-990.6,-78
1902,0,-967.2,-93.6
1923,0,-982.8,-93.6
1943,0,-959.4,-124.8
1964,0,-982.8,-85.8
1984,0,-998.4,-124.8
2005,0,-975,-93.6
2060,-23.4,-967.2,-70.2
2081,0,-951.6,-70.2
2102,-39,-951.6,-101.4
2128,0,-975,-101.4
2150,0,-990.6,-93.6
2169,0,-967.2,-70.2
2191,-23.4,-959.4,-70.2
2211,0,-982.8,-109.2
2232,0,-975,-117
2252,0,-943.8,-109.2
2273,0,-998.4,-132.6
2293,-54.6,-943.8,-109.2
2314,0,-943.8,-101.4
2334,0,-959.4,-93.6
2355,0,-959.4,-70.2
2375,0,-998.4,-101.4
2396,0,-975,-124.8
2416,0,-951.6,-101.4
2437,0,-998.4,-124.8
2457,0,-982.8,-78
2478,0,-951.6,-101.4
2497,0,-967.2,-109.2
2525,0,-975,-101.4
2546,7.8,-982.8,-70.2
2566,0,-982.8,-85.8
2586,0,-982.8,-85.8
2607,0,-990.6,-62.4
2626,0,-998.4,-93.6
2650,7.8,-998.4,-85.8
2670,0,-982.8,-101.4
2689,0,-982.8,-78
2710,0,-990.6,-70.2
2730,0,-959.4,-124.8
2751,0,-990.6,-124.8
2771,0,-990.6,-117
2792,0,-967.2,-85.8
2812,0,-967.2,-78
2833,0,-982.8,-78
2853,0,-975,-124.8
2874,7.8,-998.4,-93.6
2894,0,-967.2,-93.6
2922,0,-959.4,-101.4
2941,0,-951.6,-70.2
2963,0,-990.6,-78
2993,-46.8,-982.8,-124.8
3019,0,-967.2,-109.2
3039,0,-998.4,-101.4
3060,0,-959.4,-101.4
3080,7.8,-998.4,-124.8
3102,0,-982.8,-117
3121,0,-990.6,-117
3143,0,-990.6,-109.2
3162,0,-975,-124.8
3184,0,-998.4,-93.6
3203,7.8,-982.8,-93.6
3225,0,-951.6,-101.4
3245,0,-998.4,-101.4
3266,0,-982.8,-93.6
3286,0,-943.8,-93.6
3307,0,-943.8,-101.4
3334,7.8,-982.8,-93.6
3355,0,-943.8,-78
3375,0,-982.8,-109.2
3396,0,-975,-124.8
3416,0,-998.4,-93.6
3437,0,-975,-78
3457,0,-975,-117
3478,0,-959.4,-132.6
3498,15.6,-982.8,-85.8
3519,0,-998.4,-93.6
3540,0,-998.4,-109.2
3560,0,-967.2,-109.2
3581,15.6,-982.8,-109.2
3602,7.8,-982.8,-117
3622,0,-975,-62.4
3643,0,-975,-117
3663,0,-975,-85.8
3684,0,-951.6,-101.4
3704,0,-959.4,-93.6
3767,0,-951.6,-93.6
3788,0,-975,-124.8
3808,-23.4,-975,-124.8
3830,15.6,-967.2,-101.4
3849,0,-982.8,-93.6
3871,0,-975,-148.2
3891,0,-982.8,-148.2
3912,0,-998.4,-156
3932,0,-975,-117
3953,0,-975,-148.2
3973,0,-975,-148.2
3995,0,-951.6,-101.4
4014,0,-967.2,-132.6
4036,0,-959.4,-163.8
4055,23.4,-998.4,-124.8
4077,7.8,-943.8,-179.4
4097,-39,-920.4,-163.8
4119,0,-990.6,-140.4
4138,0,-975,-140.4
4166,0,-943.8,-163.8
4187,7.8,-975,-195
4207,0,-951.6,-156
4228,0,-967.2,-171.6
4249,7.8,-982.8,-195
4269,0,-982.8,-171.6
4290,-46.8,-975,-280.8
4311,-23.4,-912.6,-210.6
4331,0,-998.4,-234
4352,0,-967.2,-234
4373,7.8,-975,-249.6
4394,0,-959.4,-249.6
4414,0,-959.4,-280.8
4435,0,-967.2,-265.2
4455,0,-959.4,-241.8
4476,0,-975,-304.2
4496,-93.6,-1193.4,-429
4517,23.4,-702,-257.4
4538,39,-1029.6,-296.4
4566,15.6,-865.8,-468
4586,0,-1006.2,-241.8
4607,0,-998.4,-210.6
4627,0,-975,-312
4648,0,-975,-312
4668,0,-975,-327.6
4690,0,-936,-319.8
4709,0,-982.8,-390
4731,0,-928.2,-436.8
4750,0,-936,-421.2
4772,0,-873.6,-452.4
4791,0,-858,-499.2
4813,15.6,-811.2,-507
4833,15.6,-780,-553.8
4855,-101.4,-850.2,-530.4
4874,0,-795.6,-546
4896,-70.2,-702,-663
4916,-132.6,-608.4,-452.4
4944,31.2,-608.4,-678.6
4965,241.8,-717.6,-670.8
4985,23.4,-678.6,-1068.6
5006,-109.2,-569.4,-850.2
5027,0,-491.4,-819
5048,0,-499.2,-881.4
5068,0,-444.6,-912.6
5089,-39,-429,-881.4
5109,0,-390,-928.2
5130,15.6,-374.4,-928.2
5151,0,-390,-897
5171,15.6,-319.8,-998.4
5192,7.8,-195,-1053
5213,23.4,-265.2,-959.4
5233,23.4,-312,-967.2
5254,54.6,-327.6,-951.6
5274,23.4,-187.2,-982.8
5294,-54.6,-421.2,-1053
5317,7.8,-101.4,-975
5343,0,-117,-982.8
5362,23.4,-179.4,-1053
5384,7.8,202.8,-1053
5404,15.6,-109.2,-998.4
5461,23.4,31.2,-998.4
5481,0,46.8,-1021.8
5502,0,0,-1014
5522,39,0,-998.4
5543,-46.8,78,-1060.8
5563,0,85.8,-1068.6
5584,15.6,0,-1060.8
5604,15.6,93.6,-1037.4
5626,23.4,0,-1014
5656,-15.6,15.6,-998.4
5682,-46.8,31.2,-998.4
5702,0,0,-998.4
5723,0,7.8,-1053
5742,15.6,0,-1021.8
5764,7.8,46.8,-1014
5790,0,0,-1068.6
5811,0,0,-1029.6
5831,23.4,0,-998.4
5852,15.6,31.2,-1006.2
5873,0,15.6,-1037.4
5893,15.6,39,-990.6
5914,46.8,0,-1045.2
5934,0,0,-998.4
5955,0,23.4,-1084.2
5975,0,15.6,-1060.8
5996,31.2,0,-1021.8
6016,7.8,0,-1014
6037,39,-62.4,-1037.4
6058,0,70.2,-1029.6
6078,0,-39,-1045.2
6099,0,7.8,-1037.4
6120,7.8,0,-1014
6140,0,0,-998.4
6160,0,31.2,-998.4
6181,15.6,0,-998.4
6208,39,0,-1029.6
6228,23.4,0,-998.4
6250,0,0,-1045.2
6269,0,39,-998.4
6290,15.6,0,-1060.8
6310,0,7.8,-1037.4
6332,7.8,0,-998.4
6351,7.8,0,-1045.2
6372,0,0,-1029.6
6392,7.8,39,-998.4
6413,0,62.4,-1021.8
6433,23.4,15.6,-998.4
6455,7.8,0,-1021.8
6474,23.4,0,-998.4
6496,15.6,0,-1006.2
6515,31.2,7.8,-1006.2
6537,23.4,15.6,-1021.8
6557,23.4,0,-998.4
6578,23.4,0,-1014
6598,7.8,31.2,-998.4
6626,0,7.8,-1037.4
6646,0,31.2,-998.4
6667,15.6,0,-1014
6688,0,15.6,-1037.4
6708,7.8,0,-1029.6
6729,0,0,-998.4
6749,23.4,0,-1060.8
6770,31.2,0,-1053
6790,15.6,0,-1006.2
6811,0,46.8,-1053
6831,0,15.6,-1037.4
6852,15.6,0,-1029.6
6873,0,0,-1029.6
6893,0,7.8,-1060.8
6914,0,23.4,-1037.4
6934,0,23.4,-1037.4
6955,15.6,0,-1029.6
