Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
0,0.00,1037.40,0.00
23,15.60,998.40,31.20
46,31.20,998.40,31.20
70,0.00,1037.40,7.80
93,15.60,998.40,54.60
116,7.80,998.40,31.20
140,0.00,1021.80,23.40
160,31.20,1014.00,39.00
181,31.20,1053.00,0.00
202,15.60,1021.80,0.00
222,31.20,1006.20,0.00
243,23.40,1029.60,31.20
263,0.00,1021.80,0.00
284,-54.60,1021.80,15.60
305,-39.00,998.40,54.60
326,-15.60,1029.60,39.00
346,0.00,1053.00,0.00
367,7.80,1014.00,46.80
387,0.00,998.40,31.20
408,23.40,1029.60,0.00
434,23.40,998.40,54.60
456,23.40,1014.00,78.00
476,0.00,1053.00,23.40
497,7.80,1029.60,62.40
517,23.40,998.40,62.40
539,7.80,998.40,54.60
558,15.60,998.40,39.00
580,0.00,1021.80,23.40
600,0.00,1029.60,23.40
621,23.40,998.40,62.40
641,-39.00,1045.20,23.40
699,39.00,998.40,31.20
719,7.80,1029.60,23.40
740,15.60,998.40,7.80
760,0.00,1021.80,7.80
782,0.00,1014.00,54.60
801,-23.40,1029.60,39.00
823,23.40,982.80,7.80
843,-46.80,1053.00,23.40
864,0.00,1014.00,46.80
884,46.80,1029.60,31.20
912,15.60,998.40,23.40
933,-54.60,1021.80,0.00
953,0.00,1006.20,0.00
974,23.40,1006.20,46.80
994,0.00,1037.40,23.40
1015,39.00,1092.00,15.60
1036,0.00,1045.20,31.20
1056,0.00,998.40,70.20
1077,-748.80,998.40,600.60
1098,0.00,1053.00,7.80
1118,577.20,1575.60,-202.80
1139,-163.80,436.80,0.00
1160,1115.40,327.60,4609.80
1181,-7683.00,8065.20,202.80
1201,998.40,1450.80,-748.80
1222,187.20,265.20,507.00
1243,553.80,1388.40,-140.40
1264,2886.00,3900.00,-631.80
1285,93.60,1521.00,0.00
1306,3042.00,436.80,780.00
1332,-2106.00,1466.40,-1287.00
1354,1996.80,1513.20,-920.40
1410,624.00,631.80,694.20
1432,1341.60,1957.80,-639.60
1451,826.80,1965.60,-109.20
1473,795.60,756.60,-1365.00
1493,85.80,631.80,-1021.80
1515,1482.00,655.20,1045.20
1535,-1567.80,1645.80,2745.60
1557,-2394.60,31.20,2535.00
1577,-11083.80,-2129.40,-2223.00
1599,273.00,748.80,-1045.20
1618,358.80,928.20,-655.20
1640,-366.60,2324.40,-741.00
1660,-117.00,748.80,366.60
1682,-85.80,928.20,117.00
1702,312.00,920.40,-475.80
1730,148.20,577.20,834.60
1751,78.00,998.40,0.00
1771,46.80,1060.80,0.00
1792,257.40,1497.60,0.00
1812,39.00,1092.00,-132.60
1833,54.60,1045.20,15.60
1854,-249.60,1365.00,23.40
1875,0.00,982.80,187.20
1895,7.80,1053.00,54.60
1916,0.00,1037.40,0.00
1936,0.00,1053.00,0.00
1957,7.80,1045.20,31.20
1977,-78.00,1045.20,39.00
1998,0.00,998.40,62.40
2019,23.40,998.40,46.80
2040,0.00,1029.60,70.20
2060,0.00,1029.60,31.20
2081,0.00,1053.00,85.80
2136,-39.00,1014.00,85.80
2157,0.00,1045.20,46.80
2184,23.40,1045.20,23.40
2205,0.00,1053.00,31.20
2225,0.00,1029.60,62.40
2246,39.00,1029.60,46.80
2266,0.00,998.40,62.40
2288,0.00,1029.60,46.80
2307,31.20,959.40,0.00
2328,0.00,998.40,62.40
2347,0.00,1045.20,54.60
2369,7.80,998.40,62.40
2389,23.40,1014.00,46.80
2410,0.00,982.80,85.80
2430,15.60,998.40,15.60
2451,0.00,1021.80,62.40
2470,0.00,1053.00,46.80
2492,0.00,1037.40,23.40
2511,0.00,1014.00,39.00
2533,0.00,1021.80,23.40
2552,0.00,1006.20,0.00
2582,0.00,1021.80,31.20
2602,0.00,1045.20,31.20
2629,0.00,1045.20,23.40
2650,15.60,998.40,54.60
2670,0.00,998.40,23.40
2689,0.00,1014.00,39.00
