Nozzle,Volume,Attempt 1,Attempt 2,Attempt 3,Height,Error
7,200,17.86,NA,11.99,14.925,2.94
7,300,15.09,10.57,NA,12.83,2.26
7,400,3.86,5.65,3.86,4.456666667,0.84
8,200,18.01,16,12.4,15.47,2.32
8,300,20.56,13.7,12.29,15.51666667,3.61
8,400,7.94,8.07,4.96,6.99,1.44
9,200,10.39,12.7,10.91,11.33333333,0.99
9,300,8.49,8.22,4.91,7.206666667,1.63
9,400,2.73,3.5,2.04,2.756666667,0.6
7.5,200,15.07,10.4,12.74,12.73666667,1.91
7.5,300,13.21,13.5,15.91,14.20666667,1.21
7.5,400,7.87,11.6,9.11,9.526666667,1.55
8.5,200,12.71,10.6,11.02,11.44333333,0.91
8.5,300,14.33,12.7,13.66,13.56333333,0.67
8.5,400,7.51,4.75,8.42,6.893333333,1.56
